41.2471 	DATA 	Keypress: y
41.2538 	EXP 	img: autoDraw = False
41.2538 	EXP 	img: image = 'Bnw10.JPG'
41.2538 	EXP 	img: autoDraw = True
42.6028 	EXP 	New trial (rep=0, index=3): {'pic': 'Col1.JPG', 'correct_response': 'c', 'shown_before': 1}
42.6304 	DATA 	Keypress: n
42.6371 	EXP 	img: autoDraw = False
42.6371 	EXP 	img: image = 'Col1.JPG'
42.6371 	EXP 	img: autoDraw = True
43.4443 	EXP 	New trial (rep=0, index=4): {'pic': 'Bnw3 .JPG', 'correct_response': 'b', 'shown_before': 1}
43.4654 	DATA 	Keypress: y
43.4720 	EXP 	img: autoDraw = False
43.4720 	EXP 	img: image = 'Bnw3 .JPG'
43.4720 	EXP 	img: autoDraw = True
45.2189 	EXP 	New trial (rep=0, index=5): {'pic': 'Bnw8.JPG', 'correct_response': 'b', 'shown_before': 0}
45.2441 	DATA 	Keypress: y
45.2506 	EXP 	img: autoDraw = False
45.2506 	EXP 	img: image = 'Bnw8.JPG'
45.2506 	EXP 	img: autoDraw = True
46.5611 	EXP 	New trial (rep=0, index=6): {'pic': 'Bnw9.JPG', 'correct_response': 'b', 'shown_before': 0}
46.5831 	DATA 	Keypress: n
46.5895 	EXP 	img: autoDraw = False
46.5895 	EXP 	img: image = 'Bnw9.JPG'
46.5895 	EXP 	img: autoDraw = True
48.1778 	EXP 	New trial (rep=0, index=7): {'pic': 'Col4.JPG', 'correct_response': 'c', 'shown_before': 1}
48.2069 	DATA 	Keypress: n
48.2134 	EXP 	img: autoDraw = False
48.2134 	EXP 	img: image = 'Col4.JPG'
48.2134 	EXP 	img: autoDraw = True
48.9259 	EXP 	New trial (rep=0, index=8): {'pic': 'Col5.JPG', 'correct_response': 'c', 'shown_before': 1}
48.9539 	DATA 	Keypress: n
48.9604 	EXP 	img: autoDraw = False
48.9604 	EXP 	img: image = 'Col5.JPG'
48.9604 	EXP 	img: autoDraw = True
49.1191 	EXP 	New trial (rep=0, index=9): {'pic': 'Bnw7.JPG', 'correct_response': 'b', 'shown_before': 0}
49.1569 	DATA 	Keypress: y
49.1633 	EXP 	img: autoDraw = False
49.1633 	EXP 	img: image = 'Bnw7.JPG'
49.1633 	EXP 	img: autoDraw = True
49.2585 	EXP 	New trial (rep=0, index=10): {'pic': 'Bnw11.JPG', 'correct_response': 'b', 'shown_before': 0}
49.2826 	DATA 	Keypress: n
49.2892 	EXP 	img: autoDraw = False
49.2892 	EXP 	img: image = 'Bnw11.JPG'
49.2892 	EXP 	img: autoDraw = True
49.3921 	EXP 	New trial (rep=0, index=11): {'pic': 'Col8.JPG', 'correct_response': 'c', 'shown_before': 0}
49.4027 	DATA 	Keypress: y
49.4090 	EXP 	img: autoDraw = False
49.4090 	EXP 	img: image = 'Col8.JPG'
49.4090 	EXP 	img: autoDraw = True
49.5093 	EXP 	New trial (rep=0, index=12): {'pic': 'Col9.JPG', 'correct_response': 'c', 'shown_before': 0}
49.5376 	DATA 	Keypress: n
49.5439 	EXP 	img: autoDraw = False
49.5439 	EXP 	img: image = 'Col9.JPG'
49.5439 	EXP 	img: autoDraw = True
49.5922 	EXP 	New trial (rep=0, index=13): {'pic': 'Bnw2.JPG', 'correct_response': 'b', 'shown_before': 1}
49.6030 	DATA 	Keypress: y
49.6091 	EXP 	img: autoDraw = False
49.6091 	EXP 	img: image = 'Bnw2.JPG'
49.6091 	EXP 	img: autoDraw = True
49.6918 	EXP 	New trial (rep=0, index=14): {'pic': 'Col2.JPG', 'correct_response': 'c', 'shown_before': 1}
49.7047 	DATA 	Keypress: n
49.7110 	EXP 	img: autoDraw = False
49.7110 	EXP 	img: image = 'Col2.JPG'
49.7110 	EXP 	img: autoDraw = True
49.7855 	EXP 	New trial (rep=0, index=15): {'pic': 'Col11.JPG', 'correct_response': 'c', 'shown_before': 0}
49.8087 	DATA 	Keypress: y
49.8148 	EXP 	img: autoDraw = False
49.8148 	EXP 	img: image = 'Col11.JPG'
49.8148 	EXP 	img: autoDraw = True
49.8579 	EXP 	New trial (rep=0, index=16): {'pic': 'Col7.jpg', 'correct_response': 'c', 'shown_before': 0}
49.9070 	DATA 	Keypress: n
49.9134 	EXP 	img: autoDraw = False
49.9134 	EXP 	img: image = 'Col7.jpg'
49.9134 	EXP 	img: autoDraw = True
49.9342 	EXP 	New trial (rep=0, index=17): {'pic': 'Bnw5.JPG', 'correct_response': 'b', 'shown_before': 1}
49.9421 	DATA 	Keypress: y
49.9480 	EXP 	img: autoDraw = False
49.9480 	EXP 	img: image = 'Bnw5.JPG'
49.9480 	EXP 	img: autoDraw = True
50.0078 	EXP 	New trial (rep=0, index=18): {'pic': 'Bnw1.jpeg', 'correct_response': 'b', 'shown_before': 1}
50.0148 	DATA 	Keypress: n
50.0213 	EXP 	img: autoDraw = False
50.0213 	EXP 	img: image = 'Bnw1.jpeg'
50.0213 	EXP 	img: autoDraw = True
50.0914 	EXP 	New trial (rep=0, index=19): {'pic': 'Bnw4.JPG', 'correct_response': 'b', 'shown_before': 1}
50.1100 	DATA 	Keypress: y
50.1161 	EXP 	img: autoDraw = False
50.1161 	EXP 	img: image = 'Bnw4.JPG'
50.1161 	EXP 	img: autoDraw = True
50.1515 	EXP 	New trial (rep=0, index=20): {'pic': 'Bnw12.JPG', 'correct_response': 'b', 'shown_before': 0}
50.1612 	DATA 	Keypress: n
50.1672 	EXP 	img: autoDraw = False
50.1672 	EXP 	img: image = 'Bnw12.JPG'
50.1672 	EXP 	img: autoDraw = True
50.2348 	EXP 	New trial (rep=0, index=21): {'pic': 'Bnw6.JPG', 'correct_response': 'b', 'shown_before': 1}
50.2495 	DATA 	Keypress: y
50.2555 	EXP 	img: autoDraw = False
50.2555 	EXP 	img: image = 'Bnw6.JPG'
50.2555 	EXP 	img: autoDraw = True
50.3021 	EXP 	New trial (rep=0, index=22): {'pic': 'Col6.JPG', 'correct_response': 'c', 'shown_before': 1}
50.3097 	DATA 	Keypress: n
50.3157 	EXP 	img: autoDraw = False
50.3157 	EXP 	img: image = 'Col6.JPG'
50.3157 	EXP 	img: autoDraw = True
50.3687 	EXP 	New trial (rep=0, index=23): {'pic': 'Col12.JPG', 'correct_response': 'c', 'shown_before': 0}
50.3906 	DATA 	Keypress: y
50.3968 	EXP 	img: autoDraw = False
50.3968 	EXP 	img: image = 'Col12.JPG'
50.3968 	EXP 	img: autoDraw = True
50.4525 	DATA 	Keypress: n
50.4567 	EXP 	img: autoDraw = False
50.4567 	EXP 	experiment: status = STOPPED
50.4879 	EXP 	window1: mouseVisible = True
