42.4993 	EXP 	image: autoDraw = True
43.9847 	EXP 	New trial (rep=0, index=22): {'pic': 'Bnw6.JPG', 'correct_response': 'b', 'shown_before': 1}
44.0258 	EXP 	image: autoDraw = False
44.0258 	EXP 	fixation: autoDraw = False
44.0258 	EXP 	image: autoDraw = False
44.0258 	EXP 	image: image = 'Bnw6.JPG'
44.0258 	EXP 	fixation: autoDraw = True
44.4983 	EXP 	image: autoDraw = True
44.5216 	EXP 	fixation: autoDraw = False
45.9887 	EXP 	image: autoDraw = False
45.9887 	EXP 	fixation: autoDraw = False
45.9887 	EXP 	image: autoDraw = False
46.0581 	EXP 	text_norm: autoDraw = True
141.3484 	EXP 	text_norm: autoDraw = False
141.3484 	EXP 	text_countdown: autoDraw = True
151.2894 	EXP 	text_countdown: autoDraw = False
151.2894 	EXP 	text: autoDraw = True
152.2184 	EXP 	Imported color_images.xlsx as conditions, 24 conditions, 3 params
152.2259 	EXP 	Created sequence: random, trialTypes=24, nReps=1, seed=None
152.2265 	EXP 	New trial (rep=0, index=0): {'pic': 'Col8.JPG', 'correct_response': 'c', 'shown_before': 0}
152.2543 	EXP 	text: autoDraw = False
152.2543 	EXP 	img: image = 'Col8.JPG'
152.2543 	EXP 	img: autoDraw = True
153.9621 	EXP 	New trial (rep=0, index=1): {'pic': 'Col6.JPG', 'correct_response': 'c', 'shown_before': 1}
153.9782 	EXP 	img: autoDraw = False
153.9782 	EXP 	img: image = 'Col6.JPG'
153.9782 	EXP 	img: autoDraw = True
154.6376 	EXP 	New trial (rep=0, index=2): {'pic': 'Col2.JPG', 'correct_response': 'c', 'shown_before': 1}
154.6617 	EXP 	img: autoDraw = False
154.6617 	EXP 	img: image = 'Col2.JPG'
154.6617 	EXP 	img: autoDraw = True
155.2033 	EXP 	New trial (rep=0, index=3): {'pic': 'Col10.JPG', 'correct_response': 'c', 'shown_before': 0}
155.2312 	EXP 	img: autoDraw = False
155.2312 	EXP 	img: image = 'Col10.JPG'
155.2312 	EXP 	img: autoDraw = True
155.6373 	EXP 	New trial (rep=0, index=4): {'pic': 'Bnw4.JPG', 'correct_response': 'b', 'shown_before': 1}
155.6750 	EXP 	img: autoDraw = False
155.6750 	EXP 	img: image = 'Bnw4.JPG'
155.6750 	EXP 	img: autoDraw = True
155.9447 	EXP 	New trial (rep=0, index=5): {'pic': 'Bnw2.JPG', 'correct_response': 'b', 'shown_before': 1}
155.9658 	EXP 	img: autoDraw = False
155.9658 	EXP 	img: image = 'Bnw2.JPG'
155.9658 	EXP 	img: autoDraw = True
156.1601 	EXP 	New trial (rep=0, index=6): {'pic': 'Bnw9.JPG', 'correct_response': 'b', 'shown_before': 0}
156.1849 	EXP 	img: autoDraw = False
156.1849 	EXP 	img: image = 'Bnw9.JPG'
156.1849 	EXP 	img: autoDraw = True
156.3206 	EXP 	New trial (rep=0, index=7): {'pic': 'Bnw12.JPG', 'correct_response': 'b', 'shown_before': 0}
156.3406 	EXP 	img: autoDraw = False
156.3406 	EXP 	img: image = 'Bnw12.JPG'
156.3406 	EXP 	img: autoDraw = True
156.4695 	EXP 	New trial (rep=0, index=8): {'pic': 'Bnw10.JPG', 'correct_response': 'b', 'shown_before': 0}
156.5957 	EXP 	img: autoDraw = False
156.5957 	EXP 	img: image = 'Bnw10.JPG'
156.5957 	EXP 	img: autoDraw = True
156.6357 	EXP 	New trial (rep=0, index=9): {'pic': 'Bnw7.JPG', 'correct_response': 'b', 'shown_before': 0}
156.6596 	EXP 	img: autoDraw = False
156.6596 	EXP 	img: image = 'Bnw7.JPG'
156.6596 	EXP 	img: autoDraw = True
156.7421 	EXP 	New trial (rep=0, index=10): {'pic': 'Col5.JPG', 'correct_response': 'c', 'shown_before': 1}
156.7621 	EXP 	img: autoDraw = False
156.7621 	EXP 	img: image = 'Col5.JPG'
156.7621 	EXP 	img: autoDraw = True
157.0194 	EXP 	New trial (rep=0, index=11): {'pic': 'Bnw8.JPG', 'correct_response': 'b', 'shown_before': 0}
157.0456 	EXP 	img: autoDraw = False
157.0456 	EXP 	img: image = 'Bnw8.JPG'
157.0456 	EXP 	img: autoDraw = True
157.1873 	EXP 	New trial (rep=0, index=12): {'pic': 'Col12.JPG', 'correct_response': 'c', 'shown_before': 0}
157.2311 	EXP 	img: autoDraw = False
157.2311 	EXP 	img: image = 'Col12.JPG'
157.2311 	EXP 	img: autoDraw = True
157.3196 	EXP 	New trial (rep=0, index=13): {'pic': 'Col3.JPG', 'correct_response': 'c', 'shown_before': 1}
157.3367 	EXP 	img: autoDraw = False
157.3367 	EXP 	img: image = 'Col3.JPG'
157.3367 	EXP 	img: autoDraw = True
157.4425 	EXP 	New trial (rep=0, index=14): {'pic': 'Col9.JPG', 'correct_response': 'c', 'shown_before': 0}
157.4751 	EXP 	img: autoDraw = False
157.4751 	EXP 	img: image = 'Col9.JPG'
157.4751 	EXP 	img: autoDraw = True
157.5700 	EXP 	New trial (rep=0, index=15): {'pic': 'Bnw5.JPG', 'correct_response': 'b', 'shown_before': 1}
157.5866 	EXP 	img: autoDraw = False
157.5866 	EXP 	img: image = 'Bnw5.JPG'
157.5866 	EXP 	img: autoDraw = True
157.7633 	EXP 	New trial (rep=0, index=16): {'pic': 'Col4.JPG', 'correct_response': 'c', 'shown_before': 1}
157.7937 	EXP 	img: autoDraw = False
157.7937 	EXP 	img: image = 'Col4.JPG'
157.7937 	EXP 	img: autoDraw = True
157.8203 	EXP 	New trial (rep=0, index=17): {'pic': 'Col11.JPG', 'correct_response': 'c', 'shown_before': 0}
157.8499 	EXP 	img: autoDraw = False
